location,total_deaths_country,population,death_percent_country
United States,587874,331002647,0.177604017770891
Brazil,441691,212559409,0.20779649420271
India,287122,1380004385,0.020805875917561
Mexico,220850,128932753,0.171290843374763
United Kingdom,127956,67886004,0.188486569337621
Italy,124646,60461828,0.206156519118145
Russia,115003,145934460,0.0788045537702336
France,108342,67564251,0.160354031009683
Germany,86908,83783945,0.103728703631704
Colombia,82743,50882884,0.162614603370359
Spain,79568,46754783,0.170181519182754
Iran,77765,83992953,0.0925851481849912
Argentina,72265,45195777,0.15989325728375
Poland,72250,37846605,0.190902195850856
Peru,67034,32971846,0.203306784824847
South Africa,55507,59308690,0.093589994990616
Ukraine,50658,43733759,0.11583271403677
Indonesia,48669,273523621,0.0177933444366035
Turkey,45419,84339067,0.0538528603831958
Czechia,29948,10708982,0.279653098679221
Romania,29716,19237682,0.154467674431878
Hungary,29329,9660350,0.303601836372388
Chile,27997,19116209,0.146456862864389
Canada,25050,37742157,0.0663714053227005
Belgium,24768,11589616,0.213708547375513
Pakistan,19987,220892331,0.00904829964422802
Ecuador,19979,17643060,0.113239993515864
Philippines,19507,109581085,0.0178014298726829
Netherlands,17758,17134873,0.103636601216712
Bulgaria,17416,6948445,0.250646007847799
Portugal,17013,10196707,0.166847983373456
Iraq,16069,40222503,0.0399502736067917
Egypt,14498,102334403,0.0141672786228108
Sweden,14349,10099270,0.142079576048566
Bolivia,13635,11673029,0.116807728311135
Slovakia,12262,5459643,0.224593439534416
Bangladesh,12248,164689383,0.00743703071618163
Tunisia,12032,11818618,0.101805473364145
Japan,11900,126476458,0.00940886564043406
Greece,11587,10423056,0.111167012822343
Switzerland,10756,8654618,0.124280470842271
Austria,10508,9006400,0.116672588381595
Jordan,9295,10203140,0.091099406653246
Morocco,9106,36910558,0.0246704479515048
Bosnia and Herzegovina,9086,3280815,0.276943381446378
Guatemala,7928,17915567,0.0442520183703927
Paraguay,7914,7132530,0.110956420793183
Croatia,7792,4105268,0.189804904332677
Lebanon,7651,6825442,0.112095304597124
Saudi Arabia,7201,34813867,0.0206842865229536
Serbia,6725,6804596,0.0988302611940519
Israel,6395,8655541,0.0738833078140348
Panama,6305,4314768,0.146126048955587
Moldova,6053,4033963,0.150050954855064
Honduras,6051,9904608,0.0610927762108305
Nepal,5657,29136808,0.0194153045179142
North Macedonia,5249,2083380,0.251946356401617
Ireland,4941,4937796,0.100064887249291
China,4829,1439323774,0.000335504775730884
Azerbaijan,4814,10139175,0.0474792081209764
Georgia,4519,3989175,0.11328156824406
Armenia,4357,2963234,0.147035299945937
Slovenia,4338,2078932,0.208664833674213
Lithuania,4136,2722291,0.151930855297983
Ethiopia,4038,114963583,0.00351241662327104
Costa Rica,3696,5094114,0.0725543244615256
Uruguay,3638,3473727,0.10472901295928
Dominican Republic,3597,10847904,0.0331584792785777
Palestine,3448,5101416,0.0675890772287538
Kazakhstan,3409,18776707,0.018155473161508
Algeria,3395,43851043,0.00774211915552382
Myanmar,3216,54409794,0.00591070056247594
Libya,3097,6871287,0.0450716146771341
Kenya,3035,53771300,0.00564427491989221
Afghanistan,2762,38928341,0.00709508786927242
Belarus,2732,9449321,0.028912130300156
Denmark,2506,5792203,0.0432650582170549
Sudan,2446,43849269,0.00557820017478512
Venezuela,2446,28435943,0.00860178964348043
Albania,2438,2877800,0.0847174925290153
Latvia,2298,1886202,0.121832126145556
Kosovo,2240,1932774,0.115895598761159
Oman,2228,5106622,0.0436296244366629
El Salvador,2199,6486201,0.0339027421444387
Nigeria,2067,206139587,0.00100271860930817
Malaysia,2040,32365998,0.00630291085107279
South Korea,1916,51269183,0.00373713776558521
Kyrgyzstan,1725,6524191,0.0264400597713955
Syria,1714,17500657,0.00979391802262056
Kuwait,1703,4270563,0.0398776461089556
United Arab Emirates,1639,9890400,0.0165716250101108
Zimbabwe,1583,14862927,0.010650661205562
Montenegro,1566,628062,0.249338441109317
Yemen,1298,29825968,0.00435191240063022
Zambia,1263,18383956,0.00687012088149036
Estonia,1232,1326539,0.092873258909086
Cameroon,1189,26545864,0.00447904050137528
Malawi,1153,19129955,0.00602719661389689
Senegal,1128,16743930,0.00673676968310308
Sri Lanka,1051,21413250,0.0049081760125156
Finland,929,5540718,0.0167667800454742
Australia,910,25499881,0.00356864410465288
Jamaica,892,2961161,0.0301233198735226
Cuba,834,11326616,0.00736318773409464
Mozambique,828,31255435,0.0026491392616996
Luxembourg,808,625976,0.12907843112196
Ghana,783,31072945,0.00251987701841586
Norway,781,5421242,0.0144062928753226
Madagascar,777,27691019,0.00280596391198172
Democratic Republic of Congo,776,89561404,0.000866444657343691
Botswana,774,2351625,0.0329134109392441
Bahrain,773,1701583,0.0454282864838213
Somalia,762,15893219,0.00479449757786639
Namibia,739,2540916,0.0290839996284805
Angola,696,32866268,0.00211767274580734
Thailand,678,69799978,0.000971347011026279
Uzbekistan,674,33469199,0.00201379184485413
Eswatini,672,1160164,0.057922845390824
Qatar,538,2881060,0.0186736826029309
Mali,512,20250834,0.0025282909335981
Mauritania,457,4649660,0.00982867564510093
Malta,417,441539,0.0944423935371509
Uganda,350,45741000,0.000765177849194376
Guyana,349,786559,0.0443704795190188
Cyprus,348,875899,0.0397306082093941
Rwanda,348,12952209,0.00268680037513293
Trinidad and Tobago,331,1399491,0.0236514561365525
Belize,323,397621,0.0812331340648506
