location,date,total_vaccinations,percent_population_vaccinated
Gibraltar,2021-05-18 00:00:00.000,36258,107.61924549583
Gibraltar,2021-05-13 00:00:00.000,35556,105.535602980024
Gibraltar,2021-05-07 00:00:00.000,35529,105.455462883263
Gibraltar,2021-05-06 00:00:00.000,35022,103.950609955181
Gibraltar,2021-05-05 00:00:00.000,34686,102.953310973257
Gibraltar,2021-05-04 00:00:00.000,34280,101.748241370099
Gibraltar,2021-04-30 00:00:00.000,33611,99.7625478614467
Gibraltar,2021-04-29 00:00:00.000,32838,97.4681665726752
Gibraltar,2021-04-27 00:00:00.000,32054,95.1411356148526
Gibraltar,2021-04-26 00:00:00.000,32028,95.0639636698228
Gibraltar,2021-04-22 00:00:00.000,31999,94.9778872695972
Gibraltar,2021-04-21 00:00:00.000,31454,93.3602445757027
Gibraltar,2021-04-18 00:00:00.000,30811,91.4517230120804
Gibraltar,2021-04-15 00:00:00.000,30402,90.2377489537265
Gibraltar,2021-04-13 00:00:00.000,30384,90.184322222552
Gibraltar,2021-04-12 00:00:00.000,29847,88.5904247425128
Gibraltar,2021-04-11 00:00:00.000,29790,88.4212400937936
Gibraltar,2021-04-10 00:00:00.000,29692,88.1303612240658
Gibraltar,2021-04-09 00:00:00.000,29560,87.7385651954528
Gibraltar,2021-04-07 00:00:00.000,29446,87.4001958980143
Gibraltar,2021-04-01 00:00:00.000,28614,84.9306936570597
Gibraltar,2021-03-31 00:00:00.000,28526,84.6694963046511
Gibraltar,2021-03-30 00:00:00.000,28492,84.5685791457659
Gibraltar,2021-03-29 00:00:00.000,27952,82.965777210531
Gibraltar,2021-03-27 00:00:00.000,27662,82.1050132082752
Gibraltar,2021-03-26 00:00:00.000,26702,79.2555875456353
Gibraltar,2021-03-25 00:00:00.000,25736,76.388352972604
Gibraltar,2021-03-24 00:00:00.000,25206,74.8152325546882
Gibraltar,2021-03-23 00:00:00.000,24355,72.2893354308272
Gibraltar,2021-03-22 00:00:00.000,23691,70.3184826808346
Gibraltar,2021-03-20 00:00:00.000,23052,68.42183372414
Gibraltar,2021-03-21 00:00:00.000,23052,68.42183372414
Gibraltar,2021-03-19 00:00:00.000,22293,66.1690065596153
Gibraltar,2021-03-18 00:00:00.000,21250,63.0732243032264
Seychelles,2021-05-15 00:00:00.000,61631,62.6713443156396
Seychelles,2021-05-12 00:00:00.000,61360,62.3957697783201
Seychelles,2021-05-05 00:00:00.000,60407,61.4266829367501
Seychelles,2021-05-03 00:00:00.000,59676,60.6833435021354
Seychelles,2021-04-29 00:00:00.000,59160,60.1586333129957
Gibraltar,2021-03-17 00:00:00.000,20147,59.7993529429224
Seychelles,2021-04-28 00:00:00.000,58496,59.4834248525524
Israel,2021-05-19 00:00:00.000,5106932,59.0018809916099
Israel,2021-05-18 00:00:00.000,5102620,58.9520631928149
Israel,2021-05-17 00:00:00.000,5097931,58.8978898026131
Israel,2021-05-16 00:00:00.000,5097215,58.8896176449283
Israel,2021-05-15 00:00:00.000,5096084,58.8765508707081
Israel,2021-05-14 00:00:00.000,5095913,58.8745752576298
Israel,2021-05-13 00:00:00.000,5094600,58.8594057841099
Israel,2021-05-12 00:00:00.000,5091173,58.8198126494924
Israel,2021-05-11 00:00:00.000,5088090,58.7841938476174
Israel,2021-05-10 00:00:00.000,5084454,58.742186074793
Israel,2021-05-09 00:00:00.000,5079942,58.6900576174268
Israel,2021-05-08 00:00:00.000,5075328,58.6367507241893
Israel,2021-05-07 00:00:00.000,5074907,58.6318867878969
Israel,2021-05-06 00:00:00.000,5072632,58.6056030466495
